268.1 Kevin Garnett, Kevin Durant, Kevin Johnson, Kevin McHale, Kevin Love
4.1 Roger Brown, Roger Mason, Roger Burkman, Roger Jorgensen, Roger Phegley
3.1 Malcolm Brogdon, Malcolm Miller, Malcolm Lee, Malcolm Mackey, Malcolm Thomas
3.1 Cody Zeller, Dave Zeller, Gary Zeller, Harry Zeller, Tyler Zeller
3.1 Cory Joseph, Yvon Joseph, Garth Joseph, Kris Joseph, Joseph Forte
3.1 Justin Holiday, Justin Anderson, Justin Hamilton, Justin James, Justin Patton
3.1 Herm Gilliam, Herm Fuetsch, Herm Hedderick, Herm Klotz, Herm Schaefer
3.1 Trey Burke, Trey Lyles, Trey Gilder, Trey McKinney-Jones, Trey Thompkins
2.1 Malik Sealy, Malik Beasley, Malik Hairston, Malik Newman, Malik Rose
2.1 Darius Miles, Darius Bazley, Darius Johnson-Odom, Darius Washington, Darius Songaila
2.1 Cory Joseph, Cory Alexander, Cory Jefferson, Cory Blackwell, Cory Higgins
2.1 Happy Hairston, Lindsay Hairston, Al Hairston, Malik Hairston, P.J. Hairston
2.1 Red Robbins, Red Davis, Red Dehnert, Red Holzman, Red Kerr
2.1 Fred Roberts, Brian Roberts, Bill Roberts, Joe Roberts, Lawrence Roberts
2.1 Henry Bibby, Henry Walker, Myke Henry, Al Henry, Bill Henry
2.1 Pat Connaughton, Pat Garrity, Pat Dunn, Pat Durham, Pat Frink
2.1 Paul Graham, Devonte' Graham, Calvin Graham, Mal Graham, Orlando Graham
1.1 Michael Beasley, Malik Beasley, Charles Beasley, Jerome Beasley, John Beasley
1.1 Lawrence Funderburke, Edmund Lawrence, Lawrence Moten, Lawrence Roberts, Lawrence Boston
1.1 Wayne Ellington, Wayne Chapman, Wayne Embry, Wayne Hightower, Wayne Molis
1.1 Alexander Volkov, Cory Alexander, Cliff Alexander, Gary Alexander, Joe Alexander
1.1 Jonathan Isaac, Isaac Walthour, Isaac Fontaine, Isaac Humphries, Isaac Bonga
